strain,date,region,host,year,country,genotype,place_of_collection,author,accession
ON022257.1,1/8/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022263.1,1/10/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022262.1,1/6/2018,"LA,C",Alouatta,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022268.1,1/16/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022261.1,1/15/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022258.1,12/30/2017,"LA,C",Cebidae,2017,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022265.1,1/4/2018,"LA,C",Callithrix penicillata,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022456.1,1/23/2017,"LA,C",Non-human primate,2017,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022461.1,1/24/2017,"LA,C",Non-human primate,2017,Brazil,,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022509.1,2/5/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022382.1,7/3/2017,"LA,C",Alouatta caraya,2017,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022439.1,4/20/2017,"LA,C",Alouatta,2017,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022244.1,1/17/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022377.1,4/17/2018,"LA,C",Callithrix penicillata,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022380.1,11/16/2017,"LA,C",Alouatta guariba clamitans,2017,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022460.1,4/17/2017,"LA,C",Alouatta,2017,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022467.1,4/24/2017,"LA,C",Callithrix,2017,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022537.1,2/6/2017,"LA,C",Homo sapiens,2017,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
MF170975.1,3/3/2017,"LA,C",Homo sapiens,2017,Brazil,SAmI,Brazil,"Moreira-Soto,A., Torres,M.C., Lima de Mendonca,M.C., Mares-Guia,M.A., Dos Santos Rodrigues,C.D., Fabri,A.A., Dos Santos,C.C., Machado Araujo,E.S., Fischer,C., Ribeiro Nogueira,R.M., Drosten,C., Sequeira,P.C., Drexler,J.F. and Bispo de Filippis,A.M.",
ON022238.1,1/24/2017,"LA,C",Non-human primate,2017,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022281.1,12/22/2017,"LA,C",Alouatta,2017,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022264.1,12/18/2017,"LA,C",Callithrix penicillata,2017,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
MK882604.1,2/16/2017,"LA,C",Homo sapiens,2017,Brazil,SAmI,Brazil,"Giovanetti,M., Mendonca,M.C.L., Fonseca,V., Fabri,A., Rodrigues,C.D.S., Santos,C.C., Mares-Guia,M.A., Theze,J., Jesus,J.G., Xavier,J., Fortunato,S.F.S., Sequeira,P.C., Faria,N.R., Aguiar,S.F., Chieppe,A., Alcantara,L.C.J. and Filippis,A.M.B.",
MF423377.2,4/19/2017,"LA,C",Alouatta guariba clamitans,2017,Brazil,SAmI,Brazil,"Gomez,M.M., Abreu,F.V.S., Santos,A.A.C.D., Mello,I.S., Santos,M.P., Ribeiro,I.P., Ferreira-de-Brito,A., Miranda,R.M., Castro,M.G., Ribeiro,M.S., Laterriere Junior,R.D.C., Aguiar,S.F., Meira,G.L.S., Antunes,D., Torres,P.H.M., Mir,D., Vicente,A.C.P., Guimaraes,A.C.R., Caffarena,E.R., Bello,G., Lourenco-de-Oliveira,R. and Bonaldo,M.C.",
MF538785.2,4/21/2017,"LA,C",marmoset,2017,Brazil,SAmI,Brazil,"Gomez,M.M., Abreu,F.V., Santos,A.A., Mello,I.S., Santos,M.P., Ribeiro,I.P., Ferreira-de-Brito,A., Miranda,R.M., Castro,M.G., Ribeiro,M.S., Laterriere Junior,R.D., Aguiar,S.F., Meira,G.L., Antunes,D., Torres,P.H., Mir,D., Vicente,A.C., Guimaraes,A.C., Caffarena,E.R., Bello,G., Lourenco-de-Oliveira,R. and Bonaldo,M.C.",
MF370548.1,4/20/2017,"LA,C",Alouatta sp.,2017,Brazil,SAmI,Brazil,"Filippis,A.M.B., Sequeira,P.C., Mares-Guia,M.A., Mendonca,M.C.L., Torres,M.C., Silva,S.P. and Cruz,A.C.R.",
MF423373.2,2/21/2017,"LA,C",Haemagogus leucocelaenus,2017,Brazil,SAmI,Brazil,"Gomez,M.M., Abreu,F.V.S., Santos,A.A.C.D., Mello,I.S., Santos,M.P., Ribeiro,I.P., Ferreira-de-Brito,A., Miranda,R.M., Castro,M.G., Ribeiro,M.S., Laterriere Junior,R.D.C., Aguiar,S.F., Meira,G.L.S., Antunes,D., Torres,P.H.M., Mir,D., Vicente,A.C.P., Guimaraes,A.C.R., Caffarena,E.R., Bello,G., Lourenco-de-Oliveira,R. and Bonaldo,M.C.",
MF423378.2,4/19/2017,"LA,C",Alouatta guariba clamitans,2017,Brazil,SAmI,Brazil,"Gomez,M.M., Abreu,F.V.S., Santos,A.A.C.D., Mello,I.S., Santos,M.P., Ribeiro,I.P., Ferreira-de-Brito,A., Miranda,R.M., Castro,M.G., Ribeiro,M.S., Laterriere Junior,R.D.C., Aguiar,S.F., Meira,G.L.S., Antunes,D., Torres,P.H.M., Mir,D., Vicente,A.C.P., Guimaraes,A.C.R., Caffarena,E.R., Bello,G., Lourenco-de-Oliveira,R. and Bonaldo,M.C.",
MN643079.1,1/26/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Abreu,F.V.S., Ribeiro,I.P., Furtado,N.D., dos Santos,A.A.C., Cruz,S.O.D., Mello,I.S., Dos Santos,M.P., Raphael,L.M.S., Ferreira-de-Brito,A., Pina-Costa,A., Brasil,P., Lourenco-de-Oliveira,R. and Bonaldo,M.C.",
ON022510.1,3/2/2017,"LA,C",Homo sapiens,2017,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022471.1,1/24/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
MN604284.1,3/15/2017,"LA,C",Homo sapiens,2017,Brazil,SAmI,Brazil,"Jesus,J.G., Graf,T., Giovanetti,M., Mares-Guia,M.A., Xavier,J., Lima Maia,M., Fonseca,V., Fabri,A., Dos Santos,R.F., Mota Pereira,F., Ferraz Oliveira Santos,L., Reboredo de Oliveira da Silva,L., Pereira Gusmao Maia,Z., Gomes Cerqueira,J.X., Theze,J., Abade,L., Cordeiro,M.C.S., Torquato,S.S.C., Santana,E.B., de Jesus Silva,N.S., Dourado,R.S.O., Alves,A.B., do Socorro Guedes,A., da Silva Filho,P.M., Rodrigues Faria,N., de Albuquerque,C.F.C., de Abreu,A.L., Martins Romano,A.P., Croda,J., do Carmo Said,R.F., Cunha,G.M., da Fonseca Cerqueira,J.M., Mello,A.L.E.S., de Filippis,A.M.B. and Alcantara,L.C.J.",
